1526076000	0
1526248800	0
1526421600	0
1526484889	0
1526484890	281
1526485490	284
1526486090	285
1526486690	287
1526487290	288
1526487890	288
1526488491	288
1526489091	288
1526489691	288
1526490291	288
1526490891	288
1526491491	288
1526492091	288
1526492692	288
1526493292	288
1526493892	288
1526494492	288
1526495092	288
1526495692	288
1526496292	288
1526496893	288
1526497493	288
1526498093	288
1526498693	288
1526499293	288
1526499893	288
1526500493	288
1526501094	289
1526501694	289
1526502294	289
1526502894	289
1526503494	289
1526504094	289
1526504694	289
1526505295	289
1526505895	289
1526506495	289
1526507095	289
1526507695	289
1526508295	289
1526508895	289
1526509496	289
1526510096	289
1526510696	289
1526511296	289
1526511896	289
1526512496	289
1526513096	289
1526513696	289
1526514297	289
1526514897	290
1526515497	290
1526516097	290
1526516697	290
1526517297	290
1526517897	290
1526518498	290
1526519098	290
1526519698	290
1526520298	290
1526520898	290
1526521498	290
1526522098	290
1526522699	1
1526523299	1
1526523899	1
1526524499	1
1526525099	1
1526525699	1
1526526299	1
1526526900	1
1526527500	1
1526528100	1
1526528700	1
1526529300	1
1526529900	1
1526530500	1
1526531101	1
1526531701	1
1526532301	1
1526532901	1
1526533501	1
1526534101	1
1526534701	1
1526535302	1
1526535902	1
1526536502	1
1526537102	2
1526537702	4
1526538302	5
1526538902	11
1526539503	17
1526540103	30
1526540703	78
1526541303	129
1526541903	145
1526542503	159
1526543103	167
1526543704	171
1526544304	180
1526544904	183
1526545504	191
1526546104	193
1526546704	193
1526547304	194
1526547905	194
1526548505	194
1526549105	194
1526549705	194
1526550305	195
1526550905	195
1526551505	195
1526552106	195
1526552706	195
1526553306	195
1526553906	195
1526554506	196
