1525989601	0.01	0.04	0.06	2.57528	0
1525990201	0.22	0.17	0.09	2.57492	0
1525990801	0.04	0.08	0.08	2.57307	0
1525991401	0.08	0.03	0.03	2.57697	0
1525992001	0.00	0.01	0.00	2.57514	0
1525992601	0.04	0.11	0.06	2.57548	0
1525993201	0.02	0.07	0.06	2.5753	0
1525993801	1.05	0.70	0.35	3.57092	0
1525994401	0.35	0.78	0.61	3.55379	0
1525995001	0.17	0.22	0.37	3.553	0
1525995601	0.11	0.11	0.22	3.55318	0
1525996201	0.00	0.06	0.14	3.55467	0
1525996801	0.01	0.04	0.08	3.55496	0
1525997401	0.04	0.03	0.04	3.55332	0
1525998001	0.09	0.15	0.08	3.55507	0
1525998601	0.15	0.12	0.09	3.55489	0
1525999201	0.25	0.13	0.10	3.55372	0
1525999801	0.04	0.08	0.08	3.55434	0
1526000401	0.00	0.03	0.06	3.55358	0
1526001001	0.00	0.02	0.04	3.5552	0
1526001601	0.21	0.10	0.04	3.55365	0
1526002201	0.13	0.07	0.03	3.5554	0
1526002801	0.07	0.09	0.05	3.55547	0
1526003401	0.09	0.07	0.03	3.55395	0
1526004001	0.03	0.05	0.02	3.55696	0
1526004601	0.04	0.14	0.13	2.42352	0
1526005201	0.15	0.16	0.14	2.42409	0
1526005801	0.23	0.20	0.17	2.42341	0
1526006401	0.01	0.06	0.10	2.42362	0
1526007001	0.00	0.03	0.06	2.42566	0
1526007601	0.05	0.12	0.10	2.42535	0
1526008201	0.07	0.08	0.08	2.42398	0
1526008801	0.05	0.04	0.06	2.42599	0
1526009401	0.05	0.05	0.04	2.42674	0
1526010001	0.16	0.06	0.02	2.42425	0
1526010601	0.00	0.05	0.01	2.42415	0
1526011201	0.01	0.04	0.00	2.42494	0
1526011801	0.21	0.13	0.04	2.42603	0
1526012401	0.00	0.03	0.01	2.42614	0
1526013001	0.01	0.03	0.00	2.58209	0
1526013601	0.00	0.04	0.01	2.58102	0
1526014201	0.00	0.02	0.00	2.58093	0
1526014801	0.05	0.03	0.00	2.58367	0
1526015401	0.25	0.11	0.03	2.58287	0
1526016001	0.17	0.10	0.05	2.58241	0
1526016601	0.10	0.07	0.04	2.58264	0
1526017201	0.00	0.02	0.02	2.58214	0
1526017801	0.14	0.07	0.02	2.58252	0
1526018401	0.22	0.11	0.04	2.58215	0
1526019001	0.06	0.09	0.05	2.58244	0
1526019601	0.60	0.20	0.09	2.58418	0
1526020201	0.08	0.11	0.09	2.58451	0
1526020801	0.14	0.08	0.07	2.58248	0
1526021401	0.04	0.06	0.07	2.58273	0
1526022001	0.14	0.13	0.09	2.58324	0
1526022601	0.01	0.08	0.08	2.58275	0
1526023201	0.09	0.06	0.06	2.58342	0
1526023801	0.03	0.06	0.05	2.5852	0
1526024401	0.05	0.10	0.06	2.58461	0
1526025001	0.03	0.04	0.03	2.58298	0
1526025601	0.19	0.06	0.01	2.58315	0
1526026201	0.10	0.07	0.01	2.58316	0
1526026801	0.11	0.06	0.01	2.58414	0
1526027401	0.19	0.14	0.05	2.58348	0
1526028001	0.04	0.10	0.06	2.58349	0
1526028601	0.09	0.08	0.05	2.58548	0
1526029201	0.14	0.10	0.06	2.585	0
1526029801	0.19	0.14	0.10	2.58352	0
1526030401	0.06	0.05	0.07	2.58364	0
1526031001	0.03	0.09	0.08	2.58447	0
1526031601	0.23	0.16	0.11	2.58377	0
1526032201	0.08	0.09	0.09	2.5844	0
